Date,Price
2024-06-28 16:00:00,60992.8
2024-06-27 16:00:00,61545.7
2024-06-26 16:00:00,61404.6
2024-06-25 16:00:00,61851.7
2024-06-24 16:00:00,60686.3
2024-06-23 16:00:00,64055.1
2024-06-22 16:00:00,64276.3
2024-06-21 16:00:00,63627.3
2024-06-20 16:00:00,64802.6
2024-06-19 16:00:00,64842.3
2024-06-18 16:00:00,64552.5
2024-06-17 16:00:00,65300.8
2024-06-16 16:00:00,66659.8
2024-06-15 16:00:00,66258.7
2024-06-14 16:00:00,66329.9
2024-06-13 16:00:00,66385.6
2024-06-12 16:00:00,69733.1
2024-06-11 16:00:00,66232.8
2024-06-10 16:00:00,70049
2024-06-09 16:00:00,69537.9
2024-06-08 16:00:00,69415.1
2024-06-07 16:00:00,71059.4
2024-06-06 16:00:00,71265
2024-06-05 16:00:00,71662.5
2024-06-04 16:00:00,70424.9
2024-06-03 16:00:00,69544
2024-06-02 16:00:00,68097.3
2024-06-01 16:00:00,67658.2
2024-05-31 16:00:00,67207.1
2024-05-30 16:00:00,68511.9
2024-05-29 16:00:00,67310.5
2024-05-28 16:00:00,68328.4
2024-05-27 16:00:00,70293.2
2024-05-26 16:00:00,68798.9
2024-05-25 16:00:00,68917.7
2024-05-24 16:00:00,68272.9
2024-05-23 16:00:00,68052.8
2024-05-22 16:00:00,70422.3
2024-05-21 16:00:00,69678.6
2024-05-20 16:00:00,67484.1
2024-05-19 16:00:00,66896.8
2024-05-18 16:00:00,66860.7
2024-05-17 16:00:00,67266.1
2024-05-17 16:00:00,67266.1
2024-05-16 16:00:00,65817.9
2024-05-15 16:00:00,64789.9
2024-05-14 16:00:00,61709
2024-05-13 16:00:00,63051.6
2024-05-12 16:00:00,61350.5
2024-05-11 16:00:00,61189.4
2024-05-10 16:00:00,60844.2
2024-05-09 16:00:00,62100.2
2024-05-08 16:00:00,62273.2
2024-05-07 16:00:00,63741.9
2024-05-06 16:00:00,63702.1
2024-05-05 16:00:00,64467.8
2024-05-04 16:00:00,63662.4
2024-05-03 16:00:00,61773.7
2024-05-02 16:00:00,59260.1
2024-05-01 16:00:00,56792.7
2024-04-30 16:00:00,60827.4
2024-04-29 16:00:00,63002.8
2024-04-28 16:00:00,63551.6
2024-04-27 16:00:00,62899.9
2024-04-26 16:00:00,63485.2
2024-04-25 16:00:00,64049.9
2024-04-24 16:00:00,64618.8
2024-04-23 16:00:00,66406.1
